"WHM Name","WH Name","WH ID","Address","District","State","Capacity(in MT)","Registration Date","Registration Valid Upto","Contact No.","Status","Remarks"
"Uttar Pradesh State Warehousing Corporation","UP STATE WAREHOUSING CORPORATION PEG JUNGLE JOGIYABARI","6588156","UP STATE WAREHOUSING CORPORATION PEG JUNGLE JOGIYABARI ANANDNAGAR, POST GOPALPUR SHAH","Mahrajganj","UTTAR PRADESH","10000","31-May-2022","30-May-2027","6392882864","Inactive","EFFECTIVE CONTROL EXPIRED"
"Uttar Pradesh State Warehousing Corporation","UPSWC DEOKATHIA GHAZIPUR","6548283","DEOKATHIA,","Ghazipur","UTTAR PRADESH","7000","03-Jan-2022","02-Jan-2027","9076518876","Active",""
"Uttar Pradesh State Warehousing Corporation","U.P. State Warehouse, Pratapgarh","6583926","Ranjeetpur, Chilbila, Mahuli,","Pratapgarh","UTTAR PRADESH","7680","29-May-2022","28-May-2027","9076518817","Active",""
"Uttar Pradesh State Warehousing Corporation","U.P.STATE WAREHOUSE MIHIPURWA","6599229","KRISHI UTPADAN MANDI SAMITI MIHIPURWA, BAHRAICH, KRISHI UTPADAN MANDI SAMITI MIHIPURWA, BAHRAICH","Bahraich","UTTAR PRADESH","5000","01-Jul-2022","30-Jun-2027","9453079045","Active",""
"Uttar Pradesh State Warehousing Corporation","U.P. STATE WAREHOUSE, MANJHANPUR, KAUSHAMBI","6537666","Mandi Samiti, Osha Chauraha, Manjhapur, Kaushambi,","Kaushambi","UTTAR PRADESH","10000","26-Oct-2021","25-Oct-2026","9076518817","Active",""
"Uttar Pradesh State Warehousing Corporation","Tikunia (UPSWC)","6598320","Kodiyala Road Near Naveen Mandi Sthal Tikunia,","Kheri","UTTAR PRADESH","6720","29-Jun-2022","28-Jun-2027","9076518940","Active",""
"Uttar Pradesh State Warehousing Corporation","UPSWC KADARBARI","6538383","KADARBARI (SORON), KADARBARI (SORON)","Kanshiram Nagar","UTTAR PRADESH","3000","27-Oct-2021","26-Oct-2026","6390007135","Active",""
"Uttar Pradesh State Warehousing Corporation","MAINPURI KARHAL ROAD","6539738","POST NAGLA JULA NEAR ITI KARHAL ROAD MAINPURI,","Mainpuri","UTTAR PRADESH","47250","01-Nov-2021","31-Oct-2026","9076519021","Active",""
"Uttar Pradesh State Warehousing Corporation","KOSIKALAN","6670954","NAVEN MANDI KOSIKALAN,","Mathura","UTTAR PRADESH","3092","10-Jan-2023","09-Jan-2028","9452555249","Active",""
"Uttar Pradesh State Warehousing Corporation","UP State State Ware House PEG Arjunha Kushinagar","6599765","UP State State Ware House PEG Arjunha Kushinagar Dommar Bhar,","Kushinagar","UTTAR PRADESH","90000","06-Jul-2022","05-Jul-2027","9838555882","Active",""
"Uttar Pradesh State Warehousing Corporation","UP STATE WAREHOUSE PEG BRIJMANGNAJ","6650162","UP STATE WAREHOUSE PEG BRIJMANGNAJ,","Mahrajganj","UTTAR PRADESH","40000","09-Nov-2022","08-Nov-2027","7076518913","Inactive","EFFECTIVE CONTROL EXPIRED"
"Uttar Pradesh State Warehousing Corporation","Debai","6765630","Dhrampur Road, Near Sakur Ganj Kothi","Bulandshahr","UTTAR PRADESH","14038","28-Jul-2023","27-Jul-2028","9410265196","Active",""
"Uttar Pradesh State Warehousing Corporation","WAREHOUSE TENDU SONBHADRA","6641526","VILLAGE CHANDULI, POST TENDU, ROBERTASGANJ, SONBHADRA","Sonbhadra","UTTAR PRADESH","18792","15-Oct-2022","14-Oct-2027","9076519033","Active",""
"Uttar Pradesh State Warehousing Corporation","UPSWC CHHIBRAMAU","6546485","NAVEEN MANDI SAMITI CHHIBRAMAU,","Kannauj","UTTAR PRADESH","9540","20-Dec-2021","19-Dec-2026","9076518934","Active",""
"Uttar Pradesh State Warehousing Corporation","UPSWC Wazirganj","6541536","Naveen Mandi, Aonla Road","Budaun","UTTAR PRADESH","3427","16-Nov-2021","15-Nov-2026","9076518978","Active",""
"Uttar Pradesh State Warehousing Corporation","PEG YUSUFPUR","6973713","KRISHI UTPADAN MANDI SAMITI YUSUFPUR, MOHAMMADABAD GAZIPUR","Ghazipur","UTTAR PRADESH","5000","30-Aug-2024","29-Aug-2029","6390003170","Active",""
